id,province_id,name_th,name_en,category,latitude,longitude,description,opening_hours,entrance_fee_thai,entrance_fee_foreigner,is_open,status,last_verified,images,facilities,phone,website,facebook,google_maps_url,highlights,best_time_to_visit,average_duration,rating,data_source,notes
doi-suthep,chiang-mai,วัดพระธาตุดอยสุเทพ,Wat Phra That Doi Suthep,"temple,viewpoint,cultural",18.8047,98.9217,"Chiang Mai's most iconic temple perched atop Doi Suthep mountain, offering breathtaking panoramic city views and housing a sacred Buddha relic. Visitors can climb 309 steps or take a cable car.",06:00-18:00,30,50,TRUE,open,2025-11-25,"doi-suthep-1.jpg,doi-suthep-2.jpg","parking,restroom,cable-car,viewpoint,guide",053-295-002,https://www.doisuthep.com,https://facebook.com/doisutheptemple,https://goo.gl/maps/DoiSuthep,"Sacred Relic,309 Steps,Panoramic Views,Golden Chedi",Early morning (06:00-09:00) or late afternoon,2-3 hours,4.8,"TAT,Google Places",Dress code: shoulders and knees covered. Cable car available for 50 THB.
doi-inthanon,chiang-mai,อุทยานแห่งชาติดอยอินทนนท์,Doi Inthanon National Park,"nature,mountain,waterfall",18.5892,98.4873,"Thailand's highest peak (2,565m) featuring the Royal Twin Pagodas, stunning waterfalls including Wachirathan, hiking trails like Kew Mae Pan, and cool climate year-round.",06:00-18:30,300,300,TRUE,open,2025-11-25,"doi-inthanon-1.jpg,doi-inthanon-2.jpg","parking,restroom,hiking-trails,viewpoint,cafe",053-286-729,https://www.dnp.go.th/parkreserve/asp/style1/default.asp?npid=36,https://facebook.com/doiinthanonnationalpark,https://goo.gl/maps/DoiInthanon,"Highest Peak,Twin Pagodas,Waterfalls,Kew Mae Pan Trail,Cool Climate",November-February (cool season),Full day (6-8 hours),4.7,"TAT,National Park",Entrance fee 300 THB for foreigners. Bring warm clothing as it can be cold at the peak.
elephant-nature-park,chiang-mai,อุทยานธรรมชาติช้าง,Elephant Nature Park,"sanctuary,nature,ethical-tourism",19.0617,98.8642,"Ethical elephant sanctuary focused on rescue and rehabilitation. Visitors can observe elephants in their natural environment, feed them, and learn about conservation without riding or tricks.",09:00-16:00,2500,2500,TRUE,open,2025-11-25,"elephant-park-1.jpg,elephant-park-2.jpg","parking,restroom,cafe,guide,vegetarian-lunch",053-272-855,https://www.elephantnaturepark.org,https://facebook.com/ElephantNaturePark,https://goo.gl/maps/ENP,"Elephant Encounters,No Riding,Rescue Stories,Mud Bath,River Time",Year-round | Book in advance,Full day,4.9,"TripAdvisor,Ethical Tourism","Booking required in advance. Price includes transportation from Chiang Mai, lunch, guide."
wat-chedi-luang,chiang-mai,วัดเจดีย์หลวง,Wat Chedi Luang,"temple,historical,cultural",18.7870,98.9876,"14th-century temple in the Old City featuring an impressive partially-ruined chedi (stupa) and excellent example of Lanna architecture. Once housed the Emerald Buddha.",06:00-18:00,40,40,TRUE,open,2025-11-25,"chedi-luang-1.jpg,chedi-luang-2.jpg","parking,restroom,guide,monk-chat",053-814-689,https://www.watphrasingh.org,,https://goo.gl/maps/WatChediLuang,"Lanna Architecture,Ruined Chedi,Monk Chat,City Pillar",Morning (07:00-10:00),1 hour,4.6,"TAT,Google Places",Monk Chat available daily 09:00-18:00 to learn about Buddhism and Thai culture.
sunday-market,chiang-mai,ตลาดถนนคนเดินวันอาทิตย์,Sunday Night Market (Walking Street),"market,shopping,food,culture",18.7880,98.9860,"Famous weekly market stretching along Rachadamnoen Road in the Old City. Paradise for shoppers and food lovers with handmade crafts, textiles, souvenirs, and amazing street food.",16:00-23:00,0,0,TRUE,open,2025-11-25,"sunday-market-1.jpg,sunday-market-2.jpg","restroom,atm,food-stalls,shopping","053-248-604",,https://facebook.com/chiangmaisundaymarket,https://goo.gl/maps/SundayMarket,"Handicrafts,Street Food,Live Music,Local Art,Souvenirs",Sunday evenings (17:00-21:00),3-4 hours,4.7,"TAT,Lonely Planet","Open Sunday only. Bring cash, wear comfortable shoes. Very crowded but amazing atmosphere."
night-bazaar,chiang-mai,ไนท์บาซาร์เชียงใหม่,Chiang Mai Night Bazaar,"market,shopping,food,nightlife",18.7871,99.0001,"Iconic nightly market along Chang Klan Road featuring hundreds of stalls selling crafts, clothing, jewelry, and delicious local dishes like Khao Soi. Entertainment and massage parlors nearby.",18:00-23:00,0,0,TRUE,open,2025-11-25,"night-bazaar-1.jpg,night-bazaar-2.jpg","parking,restroom,atm,food-court,massage",053-281-464,https://www.chiangmainightbazaar.com,https://facebook.com/chiangmainightbazaar,https://goo.gl/maps/NightBazaar,"Shopping,Street Food,Handicrafts,Souvenirs,Massage",Every evening (19:00-22:00),2-3 hours,4.4,"TAT,Google Places",Open daily. Great for souvenirs and local food. Bargaining expected.
sticky-waterfalls,chiang-mai,น้ำตกบัวต

อง,Bua Thong Sticky Waterfalls,"nature,waterfall,adventure",19.5167,99.1833,"Unique limestone waterfalls where the grippy rocks allow visitors to climb directly up the cascading water. Natural and fun experience away from tourist crowds.",08:30-16:30,200,300,TRUE,open,2025-11-25,"sticky-falls-1.jpg,sticky-falls-2.jpg","parking,restroom,picnic-area,changing-rooms",053-456-290,,,https://goo.gl/maps/StickyWaterfalls,"Climb Waterfalls,Limestone Rocks,Swimming,Natural Pools",Morning (09:00-12:00) less crowded,2-3 hours,4.8,"TripAdvisor,Google Places","60km from city center. Entrance 300 THB for foreigners. Wear swimsuit, bring towel."
grand-canyon,chiang-mai,แกรนด์แคนยอนเชียงใหม่,Grand Canyon Chiang Mai,"waterpark,adventure,swimming",18.7344,98.9144,"Former limestone quarry transformed into adventure water park. Offers swimming, cliff jumping (5-10m), zip-lining, kayaking, and inflatable obstacle course.",10:00-19:00,50,50,TRUE,open,2025-11-25,"canyon-1.jpg,canyon-2.jpg","parking,restroom,cafe,life-jackets,lockers",080-671-1198,https://www.canyonchiangmai.com,https://facebook.com/grandcanyonwaterparkchiangmai,https://goo.gl/maps/GrandCanyon,"Cliff Jumping,Swimming,Zip-line,Kayaking,Inflatables",Afternoon (14:00-17:00),3-4 hours,4.5,"TripAdvisor,Google Places","Life jackets mandatory and included. Food and drinks available. Popular with young travelers."
