id,province_id,name_th,name_en,category,latitude,longitude,description,opening_hours,entrance_fee_thai,entrance_fee_foreigner,is_open,status,last_verified,images,facilities,phone,website,facebook,google_maps_url,highlights,best_time_to_visit,average_duration,rating,data_source,notes
patong-beach,phuket,หาดป่าตอง,Patong Beach,"beach,nightlife,entertainment,water-sports",7.8966,98.2966,"Phuket's most famous beach and entertainment hub. White sand beach with water sports by day, transforms into vibrant nightlife center with beach clubs, bars, and legendary Bangla Road at night.",All day,0,0,TRUE,open,2025-11-25,"patong-1.jpg,patong-2.jpg","parking,restroom,restaurants,bars,water-sports,beach-chairs",076-340-246,,https://facebook.com/patongbeachphuket,https://goo.gl/maps/PatongBeach,"Beach,Water Sports,Nightlife,Bangla Road,Shopping",November-April (dry season),Full day,4.4,"TAT,Google Places","Very crowded. Watch belongings. Great for nightlife. Beach chairs 100-200 THB/day."
kata-beach,phuket,หาดกะตะ,Kata Beach,"beach,family,surfing,swimming",7.8148,98.2983,"Popular family-friendly beach with calm waters, golden sand, and scenic views. Excellent for swimming, snorkeling, and surfing during monsoon season. Less crowded than Patong.",All day,0,0,TRUE,open,2025-11-25,"kata-1.jpg,kata-2.jpg","parking,restroom,restaurants,surf-rental,lifeguard",076-330-803,,https://facebook.com/katabeach,https://goo.gl/maps/KataBeach,"Family Friendly,Surfing,Swimming,Snorkeling,Viewpoint",November-April | May-Oct for surfing,Full day,4.6,"TAT,Surf Guides","Two beaches: Kata and Kata Noi. Kata Noi quieter. Good surf May-October."
karon-beach,phuket,หาดกะรน,Karon Beach,"beach,family,swimming,relaxation",7.8387,98.2843,"Long stretch of golden sand (3km) ideal for sunbathing, swimming, and  relaxed beach walks. Family-friendly atmosphere with fewer crowds than Patong. Beautiful sunsets.",All day,0,0,TRUE,open,2025-11-25,"karon-1.jpg,karon-2.jpg","parking,restroom,restaurants,beach-chairs,massage",076-286-155,,https://facebook.com/karonbeach,https://goo.gl/maps/KaronBeach,"Long Beach,Golden Sand,Family Friendly,Sunsets,Less Crowded",November-April,Full day,4.5,"TAT,Google Places","Quieter than Patong but still good facilities. Great for long beach walks."
freedom-beach,phuket,ฟรีด อมบีช,Freedom Beach,"beach,secluded,swimming,snorkeling",7.8228,98.2695,"Pristine hidden beach accessible only by boat or jungle hike. Bright white sand, crystal-clear emerald water, minimal development. Paradise away from crowds.",09:00-17:00,200,200,TRUE,open,2025-11-25,"freedom-1.jpg,freedom-2.jpg","beach-chairs,umbrellas,small-cafe,snorkel-rental",089-873-1965,,,https://goo.gl/maps/FreedomBeach,"White Sand,Clear Water,Secluded,Snorkeling,Pristine",November-April | Avoid monsoon,3-4 hours,4.8,"TripAdvisor,Beach Guides","Access: boat from Patong (200 THB) or 30-min jungle hike. Entrance fee 200 THB."
nai-harn-beach,phuket,หาดในหาน,Nai Harn Beach,"beach,swimming,local,relaxation",7.7732,98.3036,"Picturesque crescent bay at Phuket's southern tip with crystal-clear turquoise waters. Popular with locals, less touristic. Backed by lake and monastery.",All day,0,0,TRUE,open,2025-11-25,"nai-harn-1.jpg,nai-harn-2.jpg","parking,restroom,restaurants,yacht-club,beach-chairs",076-381-212,,https://facebook.com/naiharnbeach,https://goo.gl/maps/NaiHarnBeach,"Turquoise Water,Local Beach,Swimming,Scenic,Yacht Club",November-April,Half-full day,4.6,"TAT,Local Guides","Popular with expats and locals. Rougher water May-October. Great restaurants nearby."
phi-phi-islands,phuket,หมู่เกาะพีพี,Phi Phi Islands & Maya Bay,"island,beach,snorkeling,boat-tour,landmark",7.6814,98.7697,"Breathtaking limestone islands with crystal-clear waters and vibrant marine life. Maya Bay (The Beach movie location) has been beautifully restored. Perfect for snorkeling, diving, and island hopping.",Depends on tour,400,400 ,TRUE,open,2025-11-25,"phi-phi-1.jpg,phi-phi-2.jpg","boat-tour,snorkeling,lunch,guide,life-jackets",075-620-630,https://www.phiphi.phuket.com,https://facebook.com/phiphiislands,https://goo.gl/maps/PhiPhi,"Maya Bay,Snorkeling,Limestone Cliffs,Clear Water,Marine Life",November-April (calm seas),Full day tour,4.9,"TAT,Tour Operators","Day tours from Phuket 1,000-2,500 THB. Maya Bay entry 400 THB. Book early for speedboat tours."
big-buddha,phuket,พระพุทธมิ่งมงคลเอกก นาคคีรี,Big Buddha Phuket,"landmark,temple,viewpoint,cultural",7.8910,98.3080,"Iconic 45-meter marble Buddha statue atop Nakkerd Hill (400m) offering breathtaking 360° panoramic views of Phuket. Free entry, spiritual atmosphere, and stunning photo opportunities.",06:00-19:00,0,0,TRUE,open,2025-11-25,"big-buddha-1.jpg,big-buddha-2.jpg","parking,restroom,viewpoint,donation-boxes,cafe",076-386-780,https://www.mingmongkolphuket.com,https://facebook.com/bigbuddhaphuket,https://goo.gl/maps/BigBuddha,"Panoramic Views,45m Buddha,Free Entry,Spiritual,Photo Spot",Late afternoon (16:00-18:00) for sunset,1-2 hours,4.7,"TAT,Google Places","Free but donations welcome for construction. Dress respectfully. Amazing views of island."
old-phuket-town,phuket,เมืองเก่าภูเก็ต,Old Phuket Town,"cultural,historical,architecture,shopping,food",7.8841,98.3869,"Charming historic district with colorful Sino-Portuguese buildings, quaint cafes, art galleries, and boutique shops. Sunday Walking Street market draws huge crowds.",All day | Market Sun 16:00-22:00,0,0,TRUE,open,2025-11-25,"old-town-1.jpg,old-town-2.jpg","parking,cafes,restaurants,shops,atm,art-galleries",076-212-213,https://www.phuket.com/oldtown,https://facebook.com/oldphukettown,https://goo.gl/maps/OldTown,"Sino-Portuguese,Sunday Market,Street Art,Cafes,Photo Spots",Sunday for market | Weekday mornings quieter,3-4 hours,4.6,"TAT,Heritage Sites","Sunday Walking Street 16:00-22:00 on Thalang Road. Great for Instagram photos."
james-bond-island,phuket,เกาะเขาพิงกัน,James Bond Island (Phang Nga Bay),"island,landmark,boat-tour,scenic,photography",8.2746,98.5015,"Iconic limestone karst island made famous by James Bond movie 'The Man with the Golden Gun'. Part of stunning Phang Nga Bay with spectacular sea caves and mangrove forests.",Depends on tour,300,300,TRUE,open,2025-11-25,"james-bond-1.jpg,james-bond-2.jpg","boat-tour,guide,lunch,kayaking,life-jackets",076-481-188,https://www.jamesbondisland-tours.com,https://facebook.com/jamesbondisland,https://goo.gl/maps/JamesBond,"James Bond Rock,Phang Nga Bay,Sea Caves,Kayaking,Limestone Karsts",November-April,Full day tour,4.5,"TAT,Tour Operators","Tours from Phuket 1,200-2,000 THB. Entry 300 THB. Very touristy but iconic. Include kayaking in sea caves."
elephant-sanctuary-phuket,phuket,เขตรักษาพันธุ์ช้าง,Phuket Elephant Sanctuary,"sanctuary,nature,ethical-tourism,family",8.0880,98.3770,"Ethical elephant sanctuary where rescued elephants roam freely. Observe, feed, and learn about conservation without riding. Beautiful natural setting with mud spa experience for elephants.",09:00-15:00,3000,3000,TRUE,open,2025-11-25,"elephant-phuket-1.jpg,elephant-phuket-2.jpg","parking,cafe,guide,vegetarian-lunch,transport",076-521-350,https://www.phuketelephantsanctuary.org,https://facebook.com/phuketelephantsanctuary,https://goo.gl/maps/ElephantPhuket,"No Riding,Ethical,Rescue Stories,Mud Bath,Forest Setting",Year-round | Book 2-3 days ahead,Half day,4.9,"TripAdvisor,Ethical Tourism","Booking required. 3,000 THB includes lunch, guide, transfer. Morning or afternoon sessions."
