id,province_id,name_th,name_en,category,latitude,longitude,description,opening_hours,entrance_fee_thai,entrance_fee_foreigner,is_open,status,last_verified,images,facilities,phone,website,facebook,google_maps_url,highlights,best_time_to_visit,average_duration,rating,data_source,notes
grand-palace,bangkok,พระบรมมหาราชวัง,Grand Palace,"temple,historical,cultural",13.7500,100.4914,"The magnificent Grand Palace has been the official residence of Thai Kings since 1782. Home to the sacred Emerald Buddha (Phra Kaew Morakot), this sprawling complex showcases the pinnacle of Thai architecture and craftsmanship.",08:30-15:30,0,500,TRUE,open,2025-11-25,"grand-palace-1.jpg,grand-palace-2.jpg","parking,restroom,wheelchair,guide,audio-guide",02-623-5500,https://www.royalgrandpalace.th,https://facebook.com/grandpalacebkk,https://goo.gl/maps/GrandPalaceBKK,"Emerald Buddha,Golden Stupas,Chakri Maha Prasat,Royal Architecture",Early morning (08:30-10:00),2-3 hours,4.8,"TAT,Google Places","Strict dress code: no shorts, sleeveless tops, or revealing clothing. Rent appropriate attire at entrance if needed."
wat-pho,bangkok,วัดโพธิ์,Wat Pho (Temple of Reclining Buddha),"temple,cultural,wellness",13.7465,100.4927,"Home to the famous 46-meter-long Reclining Buddha covered in gold leaf. Wat Pho is also Thailand's first university and the birthplace of traditional Thai massage.",08:00-18:30,0,200,TRUE,open,2025-11-25,"wat-pho-1.jpg,wat-pho-2.jpg","parking,restroom,massage-school,guide,wheelchair",02-226-0335,https://www.watpho.com,https://facebook.com/watphobangkok,https://goo.gl/maps/WatPho,"Reclining Buddha,Chedis,Thai Massage School,Traditional Medicine Museum",Morning or late afternoon,1.5-2 hours,4.7,"TAT,TripAdvisor",Thai massage school on-site offers authentic traditional massage services
wat-arun,bangkok,วัดอรุณราชวรารามราชวรมหาวิหาร,Wat Arun (Temple of Dawn),"temple,historical,landmark",13.7437,100.4887,"Iconic riverside temple known for its stunning Khmer-style central prang (tower) decorated with colorful porcelain. Particularly beautiful at sunset when viewed from across the Chao Phraya River.",08:00-18:00,0,100,TRUE,open,2025-11-25,"wat-arun-1.jpg,wat-arun-2.jpg","restroom,guide,photo-spots",02-891-2185,https://www.watarun.net,https://facebook.com/watarunofficial,https://goo.gl/maps/WatArun,"Central Prang,River Views,Porcelain Decorations,Sunset Views",Sunset time (17:00-18:00),1 hour,4.8,"TAT,Google Places",Climb the steep stairs for panoramic river views. Cross-river ferry from Wat Pho pier
chatuchak-market,bangkok,ตลาดนัดจตุจักร,Chatuchak Weekend Market,"market,shopping,food",13.7991,100.5490,"One of the world's largest weekend markets with over 15,000 stalls selling everything from clothing and antiques to plants and pets. A true Bangkok shopping experience.",09:00-18:00,0,0,TRUE,open,2025-11-25,"chatuchak-1.jpg,chatuchak-2.jpg","restroom,food-court,atm,parking,information",02-272-4813,https://www.chatuchakmarket.org,https://facebook.com/chatuchakmarket,https://goo.gl/maps/Chatuchak,"Antiques,Clothing,Food,Art,Plants,Handicrafts",Early morning (09:00-11:00) to avoid crowds,3-4 hours,4.6,"Wongnai,Google Places","Open Saturday-Sunday only. Bring cash, wear comfortable shoes, stay hydrated"
jim-thompson-house,bangkok,บ้านจิม ทอมป์สัน,Jim Thompson House Museum,"museum,cultural,historical",13.7466,100.5343,"Beautiful traditional Thai teak house museum showcasing Southeast Asian art collection. Former home of American businessman Jim Thompson who helped revive Thai silk industry.",09:00-18:00,100,200,TRUE,open,2025-11-25,"jim-thompson-1.jpg,jim-thompson-2.jpg","guide,cafe,gift-shop,garden",02-216-7368,https://www.jimthompsonhouse.com,https://facebook.com/jimthompsonhouse,https://goo.gl/maps/JimThompson,"Traditional Thai Architecture,Art Collection,Thai Silk,Tropical Gardens",Morning (10:00-12:00),1 hour,4.6,"TripAdvisor,TAT",Mandatory guided tour included in admission. Air-conditioned cafe on-site
asiatique,bangkok,เอเชียทีค เดอะ ริเวอร์ฟร้อนท์,Asiatique The Riverfront,"shopping,nightlife,entertainment,food",13.7063,100.5062,"Riverside night market and entertainment complex with over 1,500 boutiques and 40 restaurants. Features a large Ferris wheel offering panoramic city views.",16:00-00:00,0,0,TRUE,open,2025-11-25,"asiatique-1.jpg,asiatique-2.jpg","restroom,restaurants,parking,atm,ferris-wheel",02-108-4488,https://www.asiatiquethailand.com,https://facebook.com/AsiatiqueBKK,https://goo.gl/maps/Asiatique,"Ferris Wheel,Riverside Dining,Shopping,Night Market,Cabaret Show",Evening (18:00-21:00),2-3 hours,4.5,"Google Places,Wongnai",Free shuttle boat from Saphan Taksin BTS station
khao-san-road,bangkok,ถนนข้าวสาร,Khao San Road,"nightlife,food,shopping,backpacker",13.7587,100.4976,"Famous backpacker street lined with budget accommodations, bars, street food stalls, and shops. The heart of Bangkok's backpacker scene since the 1980s.",All day,0,0,TRUE,open,2025-11-25,"khaosan-1.jpg,khaosan-2.jpg","restroom,bars,restaurants,atm,shops",,"","https://facebook.com/khaosanroad,",https://goo.gl/maps/KhaoSan,"Street Food,Nightlife,Budget Shopping,Bars,Tattoo Shops",Evening-night (18:00-02:00),2-3 hours,4.3,"Google Places,Lonely Planet","Very crowded at night, watch belongings. Wide range of street food available"
lumpini-park,bangkok,สวนลุมพินี,Lumpini Park,"park,nature,recreation",13.7307,100.5418,"Bangkok's largest public park offering a green oasis in the heart of the city. Popular for jogging, tai chi, paddle boating, and monitor lizard spotting.",04:30-21:00,0,0,TRUE,open,2025-11-25,"lumpini-1.jpg,lumpini-2.jpg","restroom,playground,exercise-equipment,paddle-boats",02-252-7006,,"","https://goo.gl/maps/LumpiniPark","Monitor Lizards,Lake,Gardens,Outdoor Gym,Jogging Track",Early morning (05:00-07:00) or evening (17:00-19:00),1-2 hours,4.5,"Google Places,TAT",Free outdoor aerobics classes at 18:00. Watch for monitor lizards near the lake
icon-siam,bangkok,ไอคอนสยาม,ICONSIAM,"shopping,food,entertainment,luxury",13.7268,100.5105,"Mega luxury shopping complex on the Chao Phraya River featuring high-end brands, SookSiam indoor floating market, and stunning river views.",10:00-22:00,0,0,TRUE,open,2025-11-25,"iconsiam-1.jpg,iconsiam-2.jpg","parking,restroom,restaurants,cinema,river-views,wheelchair",02-495-7000,https://www.iconsiam.com,https://facebook.com/ICONSIAM,https://goo.gl/maps/ICONSIAM,"Luxury Shopping,Indoor Floating Market,River Views,Apple Store,Takashimaya",Weekday afternoons to avoid crowds,2-4 hours,4.7,"Google Places",Free shuttle boat from Saphan Taksin BTS. SookSiam showcases Thai regional culture
bangkok-art-culture-centre,bangkok,หอศิลปวัฒนธรรมแห่งกรุงเทพมหานคร,Bangkok Art and Culture Centre (BACC),"museum,art,cultural",13.7466,100.5299,"Contemporary art museum featuring rotating exhibitions of Thai and international artists. Free admission with multiple floors of galleries.",10:00-21:00,0,0,TRUE,open,2025-11-25,"bacc-1.jpg,bacc-2.jpg","cafe,gift-shop,restroom,library,wheelchair",02-214-6630,https://www.bacc.or.th,https://facebook.com/baccpage,https://goo.gl/maps/BACC,"Contemporary Art,Exhibitions,Cafe,Art Library,Gift Shop",Weekday afternoons,1.5-2 hours,4.4,"Google Places,TAT","Free admission. Located at National Stadium BTS. Cafe on top floor"
