id,name_th,name_en,region,latitude,longitude,slogan_en,best_season,description,image,population,updated_at
bangkok,กรุงเทพมหานคร,Bangkok,central,13.7563,100.5018,City of Angels,November-February,"Thailand's vibrant capital blending ancient temples with modern skyscrapers, world-class shopping, and legendary street food",bangkok.jpg,5588000,2025-11-25
chiang-mai,เชียงใหม่,Chiang Mai,north,18.7883,98.9853,Rose of the North,November-February,"Cultural heart of Northern Thailand, famous for ancient temples, mountains, and traditional crafts",chiang-mai.jpg,131000,2025-11-25
chiang-rai,เชียงราย,Chiang Rai,north,19.9105,99.8406,Gateway to the Golden Triangle,November-February,"Home to the stunning White Temple and gateway to hill tribe villages",chiang-rai.jpg,75000,2025-11-25
phuket,ภูเก็ต,Phuket,south,7.8804,98.3923,Pearl of the Andaman,November-April,"Thailand's largest island with world-famous beaches, vibrant nightlife, and luxury resorts",phuket.jpg,416000,2025-11-25
krabi,กระบี่,Krabi,south,8.0863,98.9063,Land of Limestone Cliffs,November-April,"Stunning limestone karsts, pristine beaches, and island hopping paradise",krabi.jpg,37000,2025-11-25
pattaya,พัทยา,Pattaya,east,12.9236,100.8825,Beach Resort City,November-February,"Popular beach destination with entertainment, water sports, and vibrant nightlife",pattaya.jpg,120000,2025-11-25
ayutthaya,พระนครศรีอยุธยา,Ayutthaya,central,14.3532,100.5776,Ancient Capital,November-February,"UNESCO World Heritage site with magnificent temple ruins from the ancient Siamese kingdom",ayutthaya.jpg,53000,2025-11-25
koh-samui,เกาะสมุย,Koh Samui,south,9.5142,100.0142,Tropical Paradise,December-February,"Palm-fringed beaches, luxury resorts, and laid-back island atmosphere",koh-samui.jpg,63000,2025-11-25
hua-hin,หัวหิน,Hua Hin,central,12.5683,99.9576,Royal Beach Resort,November-February,"Elegant beach town favored by Thai royalty, known for seafood and golf courses",hua-hin.jpg,61000,2025-11-25
kanchanaburi,กาญจนบุรี,Kanchanaburi,west,14.0022,99.5450,River Kwai Province,November-February,"Historic bridge over River Kwai, waterfalls, and natural beauty",kanchanaburi.jpg,31000,2025-11-25
sukhothai,สุโขทัย,Sukhothai,north,17.0061,99.8230,Dawn of Happiness,November-February,"Birthplace of Thai civilization with impressive historical park",sukhothai.jpg,37000,2025-11-25
nakhon-ratchasima,นครราชสีมา,Nakhon Ratchasima,northeast,14.9799,102.0977,Gateway to Isan,November-February,"Gateway to Northeast Thailand with Khmer ruins and Khao Yai National Park",nakhon-ratchasima.jpg,143000,2025-11-25
udon-thani,อุดรธานี,Udon Thani,northeast,17.4138,102.7875,Isan's Cultural Hub,November-February,"Known for Ban Chiang archaeological site and Red Lotus Sea",udon-thani.jpg,142000,2025-11-25
nakhon-si-thammarat,นครศรีธรรมราช,Nakhon Si Thammarat,south,8.4304,99.9631,Ancient Southern Capital,February-April,"Ancient city with significant Buddhist temples and traditional shadow puppetry",nakhon-si-thammarat.jpg,106000,2025-11-25
chonburi,ชลบุรี,Chonburi,east,13.3611,100.9847,Eastern Seaboard,November-March,"Industrial and tourist hub with easy access to Pattaya and Bang Saen beach",chonburi.jpg,341000,2025-11-25
lampang,ลำปาง,Lampang,north,18.2888,99.4919,Horse Carriage City,November-February,"Charming northern city known for horse carriages and ceramic industry",lampang.jpg,58000,2025-11-25
nakhon-pathom,นครปฐม,Nakhon Pathom,central,13.8199,100.0378,First City,November-February,"Home to the world's tallest Buddhist monument, Phra Pathom Chedi",nakhon-pathom.jpg,119000,2025-11-25
ubon-ratchathani,อุบลราชธานี,Ubon Ratchathani,northeast,15.2286,104.8560,Land of Candle Festival,November-February,"Famous for Candle Festival and stunning rock formations along Mekong River",ubon-ratchathani.jpg,106000,2025-11-25
surat-thani,สุราษฎร์ธานี,Surat Thani,south,9.1382,99.3331,City of Good People,March-September,"Gateway to Koh Samui, Koh Phangan, and Koh Tao",surat-thani.jpg,131000,2025-11-25
khon-kaen,ขอนแก่น,Khon Kaen,northeast,16.4419,102.8359,Isan's Education Hub,November-February,"Modern northeastern city with vibrant university culture",khon-kaen.jpg,147000,2025-11-25
phitsanulok,พิษณุโลก,Phitsanulok,north,16.8211,100.2659,Gateway to the North,November-February,"Historic city housing the revered Phra Buddha Chinnarat",phitsanulok.jpg,85000,2025-11-25
rayong,ระยอง,Rayong,east,12.6819,101.2816,Fruit Capital,November-March,"Famous for tropical fruits and gateway to Koh Samet island",rayong.jpg,64000,2025-11-25
nonthaburi,นนทบุรี,Nonthaburi,central,13.8621,100.5144,Garden Province,November-February,"Suburban province north of Bangkok known for durian and pottery",nonthaburi.jpg,270000,2025-11-25
trang,ตรัง,Trang,south,7.5563,99.6114,Andaman Coast Gem,November-April,"Pristine islands, underwater caves, and authentic southern Thai culture",trang.jpg,61000,2025-11-25
prachuap-khiri-khan,ประจวบคีรีขันธ์,Prachuap Khiri Khan,central,11.8122,99.7973,Peaceful Beach Province,November-March,"Quiet beaches, seafood, and Khao Sam Roi Yot National Park",prachuap-khiri-khan.jpg,31000,2025-11-25
kamphaeng-phet,กำแพงเพชร,Kamphaeng Phet,north,16.4827,99.5226,Diamond Wall,November-February,"Historical park with ancient ruins and regional museum",kamphaeng-phet.jpg,30000,2025-11-25
sakon-nakhon,สกลนคร,Sakon Nakhon,northeast,17.1664,104.1486,Land of Phra That Choeng Chum,November-February,"Important Buddhist pilgrimage site and Ajahn Man meditation tradition",sakon-nakhon.jpg,76000,2025-11-25
